Domain,Language,Ambiguity
Kinship,English,2.644444444
Time,English,1
Clothing,English,1.48
Speech,English,1
physGeo,English,1.368421053
Plant,English,1.375
Animal,English,1.459259259
Emotion,English,1
Body,English,1.287234043
Kinship,Mandarin,2.244444444
Time,Mandarin,1.025641026
Clothing,Mandarin,1.68
Speech,Mandarin,1
physGeo,Mandarin,1.5
Plant,Mandarin,1.387096774
Animal,Mandarin,1.555555556
Emotion,Mandarin,1
Body,Mandarin,1.319148936
Kinship,Spanish,2.80952381
Time,Spanish,1
Clothing,Spanish,1.52173913
Speech,Spanish,1
physGeo,Spanish,1.351351351
Plant,Spanish,1.322580645
Animal,Spanish,1.389380531
Emotion,Spanish,1
Body,Spanish,1.311111111
Kinship,Russian,2.725
Time,Russian,1.028571429
Clothing,Russian,1.727272727
Speech,Russian,1
physGeo,Russian,1.378378378
Plant,Russian,1.08
Animal,Russian,1.303921569
Emotion,Russian,1
Body,Russian,1.516853933
Kinship,Swahili,5
Time,Swahili,1
Clothing,Swahili,1.571428571
Speech,Swahili,1
physGeo,Swahili,1.782608696
Plant,Swahili,1.6
Animal,Swahili,1.556701031
Emotion,Swahili,1
Body,Swahili,1.342105263
Kinship,Thai,2.980392157
Time,Thai,1.04
Clothing,Thai,1.952380952
Speech,Thai,1
physGeo,Thai,1.612903226
Plant,Thai,1.444444444
Animal,Thai,1.692307692
Emotion,Thai,1
Body,Thai,1.326086957
Kinship,Mongolian,2.625
Time,Mongolian,1
Clothing,Mongolian,1.25
Speech,Mongolian,1
physGeo,Mongolian,1.15
Plant,Mongolian,1
Animal,Mongolian,1.363636364
Emotion,Mongolian,1
Body,Mongolian,2.017857143
Kinship,Turkish,3.285714286
Time,Turkish,1
Clothing,Turkish,1.222222222
Speech,Turkish,1
physGeo,Turkish,1.217391304
Plant,Turkish,1.2
Animal,Turkish,1.280701754
Emotion,Turkish,1
Body,Turkish,1.678571429
Kinship,Arabic,3.285714286
Time,Arabic,1
Clothing,Arabic,1.222222222
Speech,Arabic,1
physGeo,Arabic,1.142857143
Plant,Arabic,1
Animal,Arabic,1.363636364
Emotion,Arabic,1
Body,Arabic,1.642857143
Kinship,Indonesian,1.466666667
Time,Indonesian,1
Clothing,Indonesian,1.555555556
Speech,Indonesian,1
physGeo,Indonesian,1.466666667
Plant,Indonesian,1.222222222
Animal,Indonesian,1.58490566
Emotion,Indonesian,1
Body,Indonesian,1.220930233
Kinship,Tamil,2.351351351
Time,Tamil,1
Clothing,Tamil,1.888888889
Speech,Tamil,1
physGeo,Tamil,1.382352941
Plant,Tamil,1.272727273
Animal,Tamil,1.510638298
Emotion,Tamil,1
Body,Tamil,1.416666667
Kinship,Hindi,2.952380952
Time,Hindi,1.027027027
Clothing,Hindi,1.695652174
Speech,Hindi,1
physGeo,Hindi,1.216216216
Plant,Hindi,1.333333333
Animal,Hindi,1.396396396
Emotion,Hindi,1
Body,Hindi,1.351648352
Kinship,Basque,2.947368421
Time,Basque,1
Clothing,Basque,1.619047619
Speech,Basque,1
physGeo,Basque,1.172413793
Plant,Basque,1.37037037
Animal,Basque,1.442105263
Emotion,Basque,1
Body,Basque,1.423076923
Kinship,Japanese,2.18
Time,Japanese,1.025641026
Clothing,Japanese,1.48
Speech,Japanese,1
physGeo,Japanese,1.135135135
Plant,Japanese,1.344827586
Animal,Japanese,1.467741935
Emotion,Japanese,1
Body,Japanese,1.340425532
Kinship,Hungarian,2.523809524
Time,Hungarian,1
Clothing,Hungarian,1.52173913
Speech,Hungarian,1
physGeo,Hungarian,1.108108108
Plant,Hungarian,1.3125
Animal,Hungarian,1.394736842
Emotion,Hungarian,1
Body,Hungarian,1.326086957
Kinship,Albanian,3.162790698
Time,Albanian,1
Clothing,Albanian,1.571428571
Speech,Albanian,1
physGeo,Albanian,1.551724138
Plant,Albanian,1.285714286
Animal,Albanian,1.5
Emotion,Albanian,1
Body,Albanian,1.356321839
Kinship,Armenian,3.37037037
Time,Armenian,1.0625
Clothing,Armenian,1.25
Speech,Armenian,1
physGeo,Armenian,1.173913043
Plant,Armenian,1.166666667
Animal,Armenian,1.295081967
Emotion,Armenian,1
Body,Armenian,1.517857143
